"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Pin";;;
2;"R2";"R_0603_1608Metric";1;"150";;;
3;"H1,H0";"Hall49E";2;"A1369xUA-10";;;
4;"U5";"SOT-23-5";1;"TPS7A03";;;
5;"JP1,JP2";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";2;"SolderJumper_2_Open";;;
6;"U2";"TSOT-23-5";1;"LTC4054ES5-4.2";;;
7;"J3,J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
8;"C1,C2";"C_0402_1005Metric";2;"100 nF";;;
9;"C9,C10";"C_0805_2012Metric";2;"4.7uF";;;
10;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
11;"D1";"LED_0805_2012Metric";1;"LED GREEN";;;
12;"R1";"R_0603_1608Metric";1;"2.7k";;;
13;"U1";"ESP32-C3-Super Mini";1;"~";;;
14;"R8";"R_0603_1608Metric";1;"1K";;;
15;"J4";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"JST_02";;;
16;"SW2";"EVQP2P02M";1;"SW_Push";;;
17;"C5";"C_0603_1608Metric";1;"2.2 uF";;;
18;"MAX1";"SOT-23-6";1;"~";;;
